Character Name,Nationality,Ethnicity,Age,Born,Died,Eye color,Hair color,Skin color,Pronouns,Allies,Enemies,Weapon of choice,Profession,Position,Affiliation,First appearance,Last appearance,Voiced by
Ghashiun,"Si Wong Desert,Earth Kingdom",Si Wong,N/A,N/A,N/A,Green,Brown,Tan,He/him,Sandbenders,"Fire Nation,Aang,Toph Beifong,Appa",Earth,Desert bandit,N/A,Si Wong tribes,"""The Library""","""Appa's Lost Days""(flashback only)",Paul McKinney
Ghazan,Earth Kingdom,Earth Kingdom,N/A,N/A,171AG,Light golden brown,Black,Light,He/him,"Red Lotus,Aiwei,Red Lotus sentries","Team Avatar,Order of the White Lotus,Zuko,Tonraq,Desna and Eska,Sokka,Tenzin,Lin Beifong,Suyin Beifong,Metal Clan,Metalbending Police Force,Bumi,Kya",Earth,Criminal,Earthbending masterFugitive(formerly)Lavabending master,Red Lotus,"""Rebirth""","""The Calling""(vision)",Peter Giles
Gilak,"Wolf Cove,Southern Water Tribe",Water Tribe,N/A,N/A,c. 102AG,Blue,Grey,Brown,He/him,"Thodandhis disciples,Lirin, Southern Water Tribe nationalists","Team Avatar,Hakoda,Maliq,Malina,Northern Water Tribe,Fire Nation,Earth KingKuei, non-native people residing in the South",Water,Warrior,Leader of the Southern militant nationalists,Southern Water Tribe,"""The Southern Raiders""(flashback only)",North and South Part Three,N/A
Ginger,"Republic City,United Republic",Republicans,N/A,N/A,N/A,Black,Red,Brown,She/her,"Varrick,Bolin",N/A,N/A,Actress,N/A,Varrimovers International,"""Rebel Spirit""","""The Last Stand""",Amy Gross
Ginkgo,"Omashu,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Black,Tan,He/him,"Kallika,Toklo,Ziyi,Chihiro",N/A,Earth,Martial artist,N/A,N/A,Avatar Legends: The Roleplaying Game-Storm Over Linsho(only appearance),N/A,N/A
Giya,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Black,Light,He/him,"Suki,Sokka",N/A,Fire,N/A,N/A,N/A,"""Shells""(only appearance)",N/A,N/A
Gombo,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Tan,He/him,His gang,"Korra,Asami Sato,Earth QueenHou-Ting",Earth,CriminalRebel,Rebel and gang leader,His barbarians,"""The Earth Queen""(only appearance)",N/A,Pat Fraley
Gommu,"Republic City,United Republic",Republicans,55,115AG,N/A,Brown,White,Light,He/him,"Team Avatar, Republic City vagabonds,General Iroh,United Forces","Amon,Equalists",N/A,Telegraph operator(formerly),Lower class United Republiccitizen,United Forces(formerly),"""Welcome to Republic City""","""Kuvira's Gambit""",Stephen Root
Gong,"Fire Nation Capital,Fire Nation",Fire Nation,38,56 - 59 AG,N/A,Brown,Black,Light,He/him,"Fire Nation,Xaipan",N/A,Fire,Military official,General,Domestic Forces,Avatar Legends: The Roleplaying Game-Quickstart(only appearance),N/A,N/A
Gonryu,"Fire Nation Capital,Fire Nation",Fire Nation,N/A,N/A,N/A,Brown,Black,Light,He/him,Fire Nation,Earth KingFeishan,Fire,N/A,Fire Lord,Fire NationFire Nation Royal Family,"""A Meeting of Minds""(mentioned only)","""The Path Forward""(mentioned only)",N/A
The Gopher,"Gaoling,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Brown,Light,He/him,"Xin Fu,Earth Rumblefighters","Toph Beifong,Aang",Earth,Professional earthbending fighter,N/A,Earth Rumble,"""The Blind Bandit""(only appearance)",N/A,N/A
Goro,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Brown,Light,He/him,"Fire Nation military, thewarden","Earth Kingdom,Tyro,Haru,Boqin,Team Avatar",Fire,JailerSoldier,Military officer,Fire NationFire Army,Avatar: Generations(only appearance),N/A,N/A
Governor of Yi,"Yi,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Gray,Light,He/him,"Air Nation, people of Yi","Kuvira, bandits",Earth,Politician,Governor of Yi,Yi,"""After All These Years""(only appearance)",N/A,Robert Morse
Gow,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Light green,Dark brown,Light,He/him,"Earth Kingdom, his soldiers","Fire Nation,Zuko,Lee,Gansu",Earth,Rogue soldier,Group leader,Earth Kingdom military,"""Zuko Alone""(only appearance)",N/A,Gary Sturgis
Gow (teashop employee),"Lansou Village, Zeizhou Province,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Black,Tan,He/him,N/A,N/A,Earth,Teashopemployee,N/A,Earth Kingdom,"""Interlude: The Man From The Spirit World""(only appearance)",N/A,N/A
Great Sage,"Crescent Island,Fire Nation",Fire Nation,N/A,N/A,N/A,Brown,White,Light,He/him,"Fire Sages, Fire Nation,Zuko","Team Avatar,Shyu,Zhao",Fire,Fire Sage,Head Sage of the Crescent Island temple,Fire NationFire Sages,"""Winter Solstice, Part 2: Avatar Roku""(only appearance)",N/A,Clement von Franckenstein
Green dragon,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Gold,Green,She/her,"Aang,Kuzon,egg",Poachers,Fire,N/A,N/A,Fire Nation,"""Dragon Days""(only appearance)",N/A,N/A
Gu,"Ba Sing Se,Earth Kingdom",Earth Kingdom,N/A,Era of Szeto,N/A,Green,Black,Light,He/him,Earth KingFeishan,N/A,Earth,Government official,Royal inspector,Earth Kingdom government,"""Adoration""(only appearance)",N/A,N/A
Guaba,"Taku,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,She/her,AvatarYangchen,N/A,Earth,Servant,Maid at Taku guesthouse,N/A,"""Baited""(only appearance)",N/A,N/A
Guan,Earth Kingdom,Earth Kingdom,34,Between 134—144AG,N/A,Hazel,Brown,Dark brown,He/him,"Dr.Sheng,Earth Empire","Team Avatar,Kuvira,Wu,Toph Beifong",Earth,SoldierPolitician,Commander of the Earth Empire's southern forcesDe factoleader of the Earth Empire remnantsGovernor of theState of Gaoling(formerly),Military of the Earth Empire,"""After All These Years""",Ruins of the Empire Part Three,N/A
Guan (outlaw),Earth Kingdom,Earth Kingdom,N/A,N/A,296BG(according toJianzhu),Green,Black,Tan,He/him,"Mok,Wai,Yellow Necks","Jianzhu,Rangi",Earth,Daofei,N/A,Yellow Necks,"""The Town""","""Conclusions""",N/A
Guard captain,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Brown,Light,He/him,Fire Nation,"Team Avatar,Chey,Earth Kingdom",Fire,Fire Nationsoldier,Head of security at theFire Days Festival,Fire Nation,"""The Deserter""(only appearance)",N/A,N/A
Guard post officer,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Tan,He/him,"Kuvira,guard post soldier","Bolin,Varrick,Baraz and Ahnah",Earth,Soldier,Corporal,Earth Empire,"""Reunion""(only appearance)",N/A,Jeff Bennett
Guard post soldier,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Tan,He/him,"Kuvira,guard post officer","Bolin,Varrick,Baraz, Ahnah",Earth,Border post guard,Corporal,Earth Empire,"""Reunion""(only appearance)",N/A,Jim Meskimen
Gun,"Ba Sing Se,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Gray,Tan,He/him,"Earth QueenHou-Ting, Earth KingWu, Earth Kingdom Royal Cabinet, Earth Kingdom loyalists",N/A,Earth,Government official,Grand Secretariat of Ba Sing Se,Earth Kingdom government,"""The Earth Queen""","""The Coronation""",Mitchell Whitfield
Gun (Avatar),Fire Nation,Fire Nation,N/A,Ru Ming era,N/A,Brown,Black,Light,He/him,Mesose,N/A,Fire,Avatar,N/A,N/A,"""Voices of the Past""(mentioned only)","""Mistaken Identity""",N/A
Guo,"Zaofu,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,He/him,N/A,N/A,Earth,Acupuncturist,N/A,Metal Clan,"""Old Wounds""(only appearance)",N/A,Paul Nakauchi
Guo Xun,"Omashu,Earth Kingdom",Earth Kingdom,80,N/A,N/A,Green,White,Tan,She/her,Western Kingdom Trading Company,Earth KingJialun,Earth,N/A,Queen of Omashu,Omashu,Avatar Legends: The Roleplaying Game-Core Book(only appearance),N/A,N/A
Guri,Fire Nation,Fire Nation,4,98AG,N/A,Brown,Black,Light,He/him,"Kiyi,Tom-Tom,Lihua","Azula,New Ozai Society",Fire,N/A,N/A,N/A,Smoke and Shadow Part Two,Smoke and Shadow Part Three,N/A
Gyatso,Southern Air Temple,Air Nomad,78,Late 70sBG,0 AG,Light brown,White,Light,He/him,"Aang,Roku,Pathik, Air Nomads, Lola,Pasang,Tashi,Malaya,Disha","Fire Nation,Sozin,Western Kingdom Trading Company, Ulo,Amihan",Air,Airbending instructorMonk,Airbending masterCouncil ElderHigh Monk,Air NomadsCouncil of Elders,"""The Southern Air Temple""(flashback only)","""Something Meaningful""",Sab ShimonoSean Marquette(young Gyatso)
Gyemtsen,Eastern Air Temple,Air Nomad,N/A,N/A,N/A,Gray,Brown,Light,She/her,"Air Nomads, Rong",Ghost Tigers,Air,Nun,N/A,Eastern Air Temple,Avatar Legends: The Roleplaying Game-Core Book(mentioned only),N/A,N/A
Hahn,"Agna Qel'a,Northern Water Tribe",Water Tribe,17,82AG,N/A,Light blue,Black,Brown,He/him,"Yue,Arnook, Northern Water Tribe","Fire Nation,AdmiralZhao,Sokka",Water,Soldier,N/A,Northern Water Tribe,"""The Siege of the North, Part 1""","""The Siege of the North, Part 2""",Ben Diskin
Hai Jun,"Penquan Island,Fire Nation",Fire Nation,N/A,N/A,N/A,Amber,Grey,Light brown,He/him,"Naoki,Hisa,Mako,Bolin",Panzo,Fire,Fisherman,Leader of smuggling network of Penquan Island(formerly),Penquan Island,Mystery of Penquan Island(only appearance),N/A,N/A
Hakoda,"Wolf Cove,Southern Water Tribe",Water Tribe,N/A,N/A,N/A,Blue,Dark brown,Brown,He/him,"Team Avatar,Bato,Chit Sang,Tyro,Haru,Earth Kingdom, Southern Water Tribe, Malina","Ozai,Azula,the warden,Azulon,Yon Rha,Southern Raiders,Gilak,Fire Navy officer",Water,Warrior,Fire Nation prisoner(formerly)Chieftainof Wolf Cove(formerly)Head Chieftain of the Southern Water Tribe,Southern Water Tribe,"""Bato of the Water Tribe""(flashback only)",Avatar: The Last Airbender: Quest for Balance,André Sogliuzzo(inAvatar: The Last Airbender)Brent Mukai(inQuest for Balance)
Ham Ghao,Sun Warriors' ancient city,Sun Warrior,N/A,N/A,N/A,Brown,Black,Light,He/him,"Sun Warrior chief,Ran and Shaw",Fire Nation,Fire,N/A,N/A,Sun Warriors,"""The Firebending Masters""(only appearance)",N/A,Brian Tochi
Hama,"Wolf Cove,Southern Water Tribe",Water Tribe,N/A,N/A,N/A,Gray,Light gray,Light,She/her,"Southern Water Tribe,Kanna","Fire Nation,Team Avatar,Ding",Water,Innkeeper(formerly)Waterbending instructor(formerly),Fire Nation prisoner(formerly)Southern Water Tribe prisonerInventor of bloodbendingWaterbending master,Southern Water Tribe,"""The Puppetmaster""",I Am Katara,Tress MacNeille
Hana,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,She/her,N/A,N/A,Earth,Daofei,Earthbending masterSandbending masterSecond-in-command of theTriad of the Golden WingSecond-in-command of theFanged Mercenaries,Triad of the Golden WingFanged Mercenaries,Adventure Booklet 1:Earth & Root(only appearance),N/A,N/A
Hark,Earth Kingdom,Earth Kingdom,N/A,N/A,299BG,Green,Black,Tan,He/him,Flying Opera Company,"Earth Kingdom, rival gangs",Earth,ActorDaofei,Flying Opera Company leader,Flying Opera Company,"""The Iceberg""(dream)","""The Introduction""(dream)",N/A
Haru,"Mining village,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Brown,Light tan,He/him,"Team Avatar,The Duke,Teo,Hakoda,Boqin","The warden,Juro,Goro,Azula",Earth,N/A,Fire Nation prisoner(formerly)Militia member,"Earth KingdomHakoda's forces""Team Tyro""","""Imprisoned""",Avatar: Generations,Michael Dow(inAvatar: The Last Airbender)Vincent Tong(inQuest for Balance)
Haru's mother,"Mining village,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Gray,Light,She/her,Team Avatar,Fire Nation,Earth,Shopkeeper,N/A,Earth Kingdom,"""Imprisoned""(only appearance)",N/A,Pat Musick
Hasook,"Republic City,United Republic",Water Tribe,N/A,N/A,N/A,Blue,Black,Brown,He/him,N/A,N/A,Water,Pro-bender(formerly),Fire Ferrets' waterbender(formerly),Fire Ferrets(formerly),"""A Leaf in the Wind""","""The Last Stand""",Sean Gantka
Hawky,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Black,Red,He/him,Team Avatar,Momo,Fire,N/A,Messenger hawk,Team Avatar,"""The Runaway""(only appearance)",N/A,Dee Bradley Baker
He Xing,NorthernEarth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Dark brown,Brown,They/them,N/A,N/A,Earth,Justiciar and lawkeeper,Warden,N/A,Avatar Legends: The Roleplaying Game Core Book,Adventure Booklet:The Pirates of Crimson Sails,N/A
Head of the Dai Li,"Ba Sing Se,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,He/him,Dai Li,"Earth Kingdom,Kuei,Team Avatar,Zuko,Iroh,Jet,Council of Five",Earth,Dai Li agent,Earthbending masterHead of the Dai LiRepresentative and spokesperson for Dai Li agents,Azula(formerly)Dai LiLong Feng(formerly),"""City of Walls and Secrets""","""Sozin's Comet, Part 3: Into the Inferno""","Jason Miller(""City of Walls and Secrets"" and ""Lake Laogai"")[2]André Sogliuzzo(""Sozin's Comet, Part 3: Into the Inferno"")"
Headhunter,"Gaoling,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Brown,Light,He/him,"Xin Fu,Earth Rumblefighters","Toph Beifong,Aang",Earth,Professional earthbending fighter,N/A,Earth KingdomEarth Rumble,"""The Blind Bandit""(only appearance)",N/A,N/A
Headmaster,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Grey,Pale,He/him,"Hide,Kwan,music teacher, Fire Nation",Aang(as Kuzon),Fire,HeadmasterDrill sergeant(formerly),N/A,Fire Army(formerly)Fire Nation school,"""The Headband""(only appearance)",N/A,Jim Ward
Hei-Ran,Fire Nation,Fire Nation,N/A,N/A,N/A,Dark bronze,Pitch black,Porcelain-like,She/her,"Fire Nation,Kyoshi,Rangi,Kuruk,Kelsang,Nyahitha,Rin,Atuat,Zoryu,Jinpa,Amak,Jianzhu,Tei Eesoni,Jasmine Island protectors","Tagaka,Fifth Nation,daofei,Yun",Fire,Firebending instructor to theAvatar[5]Headmistress of theRoyal Fire Academy for Girls(formerly)Soldier(formerly),Firebending masterSei'naka clanmatriarch,Kuruk's team(formerly)Fire Army(formerly)Fire NationRoyal Fire Academy for GirlsSei'naka clan,"""The Boy From Makapu""",Uncle Iroh's Adventure Guide,N/A
Hei-Won,"Ba Sing Se,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Brown,Light,She/her,"Aang,Official Avatar Aang Fan Club,Air Acolytes",N/A,Earth,N/A,Air AcolyteCo-founder of the Ba Sing Se chapter of the Official Avatar Aang Fan Club,Air AcolytesOfficial Avatar Aang Fan Club,The Promise Part Two,The Promise Part Three,N/A
Henshe,"Ba Sing Se,Earth Kingdom",Earth Kingdom,25,N/A,Year 17 of theera of Yangchen,Green,Black,Tan,She/her,"Shang merchants,Yingsu,Xiaoyun,Thapa","AvatarYangchen,Earth KingFeishan,Kalyaan",Earth,Shang merchant,ZongduofBin-Er(formerly),Shang merchants,"""Theater""","""Second Option""",N/A
Herbalist,"Taku,Earth Kingdom",Earth Kingdom,80,20AG,N/A,Green,White,Light,She/her,"Miyuki,Aang",Fire Nation,Earth,Herbalist,N/A,Herbalist instituteEarth Kingdom,"""The Blue Spirit""","""Bato of the Water Tribe""",Jodi Carlisle
Hide,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Brown,Light,He/him,Headmaster,"Aang(as Kuzon),Shoji",Fire,Student,Star pupil,Fire Nation school,"""The Headband""(only appearance)",N/A,Matthew Underwood
Hing,"Fire Nation Capital,Fire Nation",Fire Nation,N/A,N/A,N/A,Dark,Brown,Light,He/him,"Safe Nation Society,Kei Lo","Fire Nationgovernment,Fire Army",Fire,N/A,Member of the Safe Nation Society,Safe Nation Society,Smoke and Shadow Part Three(only appearance),N/A,N/A
Hiroshi,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Brown,Light,He/him,"Riley,Analay,Visola, Genji,Yahshi,Team Avatar",N/A,Earth,N/A,N/A,Earth KingdomUnnamed team,"""New Recruits""(only appearance)",N/A,N/A
Hiroshi Sato,"Republic City,United Republic",Fire Nation,50,120AG,174 AG,Maroon,Black,Light,He/him,"Republic City,Future Industries,Team Avatar,Lin Beifong,Tenzin","Agni Kai Triad,benders,Wonyong Keum,Cabbage Corp,United Forces,Kuvira, more ...",Fire,Businessman(formerly)Engineer and inventorEqualist(formerly)Industrialist(formerly),Chief Executive Officer of Future Industries(formerly)Equalist commander(formerly)Equalist technology provider(formerly)Founder of Future IndustriesPro-bendingsponsor(formerly)Republic City prisoner(formerly)Upper-class United Republiccitizen(formerly),Equalists(disavowed)Future Industries(formerly)Sato family,"""The Voice in the Night""","""Day of the Colossus""",Daniel Dae Kim
Hiryu,Northern Water Tribe,Water Tribe,N/A,N/A,N/A,Blue,Black,Brown,He/him,"Team Avatar, Water Tribe, MasterWei","Zhao,Fire Nation",Water,Hunter,N/A,Northern Water Tribe,Avatar: The Last Airbender(video game)(only appearance),N/A,N/A
Hisa,Fire Nation,Fire Nation,N/A,N/A,N/A,Amber,Brown,Light brown,She/her,"Jian, Kibi, Ming Ming,Hai Jun,Mako,Bolin",Panzo,Fire,N/A,N/A,N/A,Mystery of Penquan Island(only appearance),N/A,N/A
Ho Tun,"Yu Dao,Fire Nation colonies",Earth Kingdom,16,85AG,N/A,Green,Brown,Tan,He/him,"Team Beifong, Earth Kingdom,Team Avatar,Sun","Kunyo,General Old Iron",Fire,Metalbending instructor,Metalbending master,Beifong Metalbending AcademyEarth KingdomTeam BeifongYu Dao,The Promise Part One,Toph Beifong's Metalbending Academy,N/A
Hong Li,"Zaofu,Earth Kingdom",Earth Kingdom,18,153AG,N/A,Green,Black,Light,He/him,Suyin Beifong,"Aiwei,Red Lotus",Earth,Guard,N/A,Metal Clan,"""The Terror Within""(only appearance)",N/A,Joey Richter
Hongmei,"Republic City,United Republic",Republicans,N/A,N/A,N/A,Green,Dark,Dark brown,He/him,N/A,N/A,N/A,Moverproducer,Executive atVarrimovers International,Varrimovers International,Movers & Shakers(only appearance),N/A,N/A
Honu,Northern Water Tribe[nb 1],Water Tribe,N/A,N/A,N/A,Blue,Black,Brown,She/her,"Gayu,Kahola",N/A,Water,Pirate,N/A,N/A,Avatar Legends: The Roleplaying Game Core Book,Adventure Booklet:The Pirates of Crimson Sails,N/A
Hope,Earth Kingdom,Earth Kingdom,1,100AG,N/A,Green,Black,Tan,She/her,Team Avatar,Fire Nation,Earth,N/A,N/A,N/A,"""The Serpent's Pass""","""The Awakening""(flashback only)",N/A
Hotah,Northern Water Tribe,Water Tribe,N/A,N/A,N/A,Blue,White,Brown,He/him,Unalaq,"Korra,Naga",Water,Jurist,Judge,Northern Water Tribe,"""Civil Wars, Part 2""(only appearance)",N/A,Tom Kane
Hou-Ting,"Ba Sing Se,Earth Kingdom",Earth Kingdom,N/A,N/A,171AG,Green,Black,Light,She/her,"Earth Kingdom,Dai Li,Earth Kingdom Royal Palaceservants,Royal Earthbender Guards,Earth Kingdom Army,Gun, Earth Kingdom Royal Cabinet","Team Avatar,Gombo'sgang,Red Lotus,Air Nation, bandits",Earth,N/A,Earth Queen,Earth KingdomEarth Kingdom governmentHou-Ting dynasty,"""The Earth Queen""",Ruins of the Empire Part Two,Jayne Taini
Hou-Ting's prisoner,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Brown,Gray,Tan,He/him,Zaheer,Hou-Ting,Earth,N/A,Prisoner(formerly),N/A,"""Long Live the Queen""(only appearance)",N/A,Jeff Bennett
How,"Ba Sing Se,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,He/him,"Earth KingKuei,Earth Kingdom Army,Council of Five,Team Avatar, more ...","Long Feng, theDai Li",Earth,Military officer,Top generalLeader of the Earth Kingdom militaryLeader of the Council of FiveChief military adviser of theEarth King,Earth Kingdom ArmyCouncil of Five,"""The Earth King""",The Promise Part Three,Jim Meskimen
Hua,"Zeizhou Province,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Blackish brown,Tan,She/her,"Yun's party,Jianzhu's guardsmen",Fifth Nation,Earth,N/A,Slave(formerly),N/A,"""The Iceberg""",Avatar: Generations,N/A
Hua (criminal),Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Black,Light,She/her,Paper Lantern Gang,N/A,Fire,Criminal,Second-in-command of the Paper Lantern GangMaster firebender,Paper Lantern Gang,Avatar Legends: The Roleplaying Game-Core Book(only appearance),N/A,N/A
Huan,"Zaofu,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Olive drab green,Black,Tan,He/him,"Metal Clan,Meelo,Ikki",Earth Empire,Earth,Artist,Earth Empire prisoner(formerly),Beifong familyMetal Clan,"""The Metal Clan""",Ruins of the Empire Part Three,Jason Marsden
Huazo,"Ma'inka Island,Fire Nation",Fire Nation,N/A,N/A,N/A,Brown,Black,Light,She/her,"Koulin,Saowon clan,Hei-Ran","Zoryu,Sanshur Keohso,Keohso clan",Fire,Noblewoman,Leader of the Saowon clanRoyal mistress(formerly),Saowon clanFire Nation,"""The Fire Sage""","""The Edge""",N/A
Hui,Earth Kingdom,Earth Kingdom,N/A,N/A,296BG,Green,Black,Tan,He/him,"Lu Beifong,Earth Sages,Saiful",Jianzhu,Earth,Servant,Chamberlain to Lu Beifong,Beifong family,"""Obligations""","""The Ambush""",N/A
Hundun,Earth Kingdom,Earth Kingdom,N/A,N/A,171AG,Green,White,Light,He/him,"Equalists,Triple Threat Triad,dark spirits","TheAvatar,Jinora",Earth,N/A,Chaotic attack masterEarthbending masterKings(formerly)Spirits,N/A,The Legend of Korra(video game)(only appearance),N/A,Steve Blum
Huntsman,N/A,Unknown,N/A,N/A,N/A,Light Brown,Black,Tan,He/him,"Firelion turtle, hunters","Spirits,Wan",N/A,Hunter,Lead hunter,Fire lion turtle city,"""Beginnings, Part 1""(vision)","""Light in the Dark""(vision)",Travis Willingham
Huu,Foggy Swamp Tribe,Water Tribe,N/A,N/A,N/A,Blue,Gray,Brown,He/him,"Tho,Due, Foggy Swamp Tribe,Team Avatar, more ...",Attackers of theFoggy Swamp,Water,N/A,Protector of the Foggy SwampWaterbending master,Foggy Swamp Tribe,"""The Swamp""","""Sozin's Comet, Part 4: Avatar Aang""",William H. Bassett
Ibuki,"Ba Sing Se,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,She/her,N/A,N/A,Earth,Art collector,Informant for theMiddle Ring police,N/A,Avatar Legends: The Roleplaying Game-Core Book(only appearance),N/A,N/A
Iio,Eastern Air Temple,Air Nomad,87,N/A,N/A,Gray,White,Light,She/her,Air Nomads,N/A,Air,Nun,Mother Superior of the Eastern Air TempleAirbending master,Air NomadsCouncil of Elders,"""Appa's Lost Days""(flashback only)(only appearance)",N/A,Flo Di Re
Ikki,"Republic City,United Republic","Mixed, includingAir NomadandWater Tribe",7,163AG,N/A,Light gray,Dark brown,Light,She/her,"Team Avatar,Air Nation,Air Acolytes,Lin Beifong,Order of the White Lotus,Opal,Huan","Amon,Equalists,Lieutenant,Red Lotus,Earth Empire",Air,N/A,Airbender-in-trainingTeacher,Air NationAir Temple IslandTenzin's family,"""Welcome to Republic City""","""Beach Wars""",Darcy Rose Byrnes
Iknik Blackstone Varrick,Southern Water Tribe,Water Tribe,N/A,N/A,N/A,Light blue,Dark brown,Light tan,He/him,"Team Avatar,Tonraq,Ginger,Raiko,Suyin Beifong,Tenzin","Unalaq,Kuvira,Earth Empire",Water,Business magnateInventorRebel leader(formerly)ResearcherSoldier(formerly),Corporal[4]and scientist in the military of the Earth Empire(formerly)Earth Empire fugitive(formerly)First Gentleman of the United Republic[5][6]Zaofu's Head of Technology(formerly)Leader of theSouthern Water Tribe rebels(formerly)Prisoner in theRepublic City prison(formerly)United Republic fugitive(pardoned by President Raiko)Upper-class Southern Water Tribecitizen,Military of the Earth Empire(deserted)Metal Clan(formerly)Southern Water Tribe rebels(formerly)Team AvatarVarrick Global IndustriesVarrimovers International,"""Rebel Spirit""",Adventure Booklet 5:Water & Mist,John Michael Higgins
Ikru,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,He/him,N/A,N/A,Earth,AcademicInventor,Earth Kingdom delegate at theFour Nations Summit & Technological Symposium,N/A,Adventure Booklet 2:Fire & Brimstone(only appearance),N/A,N/A
Innkeeper,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Gray,Light,She/her,N/A,N/A,Earth,Innkeeper,N/A,N/A,"""The Stakeout""(only appearance)",N/A,Andrea Romano
Iroh,"Fire Nation Capital,Fire Nation",Fire Nation,54,c. 45AG,N/A,Amber,White,Light,He/him,"Team Avatar,Order of the White Lotus,Ursa,Ran and Shaw,Ming,Korra,Tenzin,Bumi,Kya,June, Li-Mei, more ...","Ozai,Azula,Zhao, theDai Li,Rough Rhinos,Keung, more ...",Fire,Firebending instructorMilitary official(retired)TeabrewerTea shop owner,"Crown Princeof the Fire Nation(formerly)""Finest Tea Brewer in Ba Sing Se""[10]Fire Nation traitor(formerly)Fire Nation prisoner(formerly)Firebending masterGeneral(retired)Grand Lotus of the Order of the White LotusInterimFire Lord(during Zuko's absence in 101 AG)Jasmine Dragonteashop founder and ownerSpirit",Fire NationFire Nation military(formerly)Fire Nation Royal FamilyJasmine DragonOrder of the White LotusSpirit World,"""The Boy in the Iceberg""",Avatar: The Last Airbender: My Cabbages!,Mako Iwamatsu(in BooksOneandTwoofAvatar: The Last Airbender)Greg Baldwin(inBook Three: FireandThe Legend of Korra)Artt Butler(inQuest for Balance)
Iroh (United Forces general),Fire Nation,Fire Nation,36,134AG,N/A,Amber,Black,Light tan,He/him,"Fire Nation,United Forces,Bumi,Tenzin,Team Avatar,United Republic,Gommu","Amon,Hiroshi Sato,Equalists,Unalaq,Earth Empire,triads",Fire,Military officerSailor,Firebending masterGeneralof the United ForcesPrince of the Fire Nation,Fire Nation Royal FamilyUnited ForcesNorthern Water Tribe(formerly),"""Turning the Tides""",Avatar Legends: The Roleplaying Game-Republic City,Dante Basco
Ivalu,"Agna Qel'a,Northern Water Tribe",Water Tribe,25,N/A,N/A,Blue,Black,Brown,She/her,"Order of the White Lotus,Ayunerak,Kavik",N/A,Water,N/A,Member of the Order of the White Lotus,Order of the White Lotus,"""Previously""(only appearance)",N/A,N/A
Iwashi,"Omashu,Earth Kingdom",Earth Kingdom,50,N/A,N/A,Green,Black,Light,He/him,"Shang merchants,Chaisee","AvatarYangchen,Kavik",Earth,Shang merchant,ZongduofTaku(formerly),Shang merchants,"""Matters of Pride""","""Bereavement""",N/A
Izumi,"Fire Nation Capital,Fire Nation",Fire Nation,N/A,N/A,N/A,Gold,Gray,Light,She/her,"Fire Nation,Military of the Fire Nation,Southern Water Tribe,Aang,Tenzin,Raiko",N/A,Fire,N/A,Crown Princessof the Fire Nation(formerly)Fire Lord,Fire NationFire Nation Royal FamilyMilitary of the Fire Nation,"""The Coronation""","""Beyond the Wilds""",April Stewart
Jade,"Omashu,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Light green,Brown,Light,She/her,"Lee,Jiang,Wen","Fire Nation,Masaru,Azula",Earth,Shopkeeper,Owner of Jade's General Goods,N/A,Avatar: Generations(only appearance),N/A,N/A
